Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
MERCEDES-BENZ GLA250 4Matic,2.0,4.0,AutoMan-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SMBXJ02.0HY3,small SUV,6,25,33,28,6,No,315
MERCEDES-BENZ GLB 250,2.0,4.0,AutoMan-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SMBXJ02.0HY3,special purpose,6,25,33,28,6,No,311
MERCEDES-BENZ GLB 250 4Matic,2.0,4.0,AutoMan-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SMBXJ02.0HY3,small SUV,6,24,33,27,5,No,324
MERCEDES-BENZ GLC 300 4Matic,2.0,4.0,Auto-9,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SMBXJ02.0HY1,small SUV,6,23,31,26,5,No,338
MERCEDES-BENZ GLC 350e 4Matic EQ Hybrid,2.0,4.0,Auto-9,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SMBXT02.0HY2,small SUV,6,23/60,28/70,25/64,9,Yes,84
MERCEDES-BENZ GLE 450e 4MATIC,2.0,4.0,Auto-9,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SMBXT02.0HY2,standard SUV,6,21/57,26/63,23/60,9,Yes,99
MERCEDES-BENZ GLE 580 4Matic,4.0,8.0,Auto-9,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SMBXT04.0HY1,standard SUV,4,15,20,17,3,No,527
MERCEDES-BENZ GLE350 4Matic,2.0,4.0,Auto-9,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SMBXT02.0HY1,small SUV,6,19,26,22,5,No,410
MERCEDES-BENZ GLE450 4Matic,3.0,6.0,Auto-9,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SMBXJ03.0HY1,standard SUV,6,19,25,21,4,No,424
MERCEDES-BENZ GLS450 4Matic,3.0,6.0,Auto-9,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SMBXJ03.0HY1,standard SUV,6,19,24,21,4,No,428
MERCEDES-BENZ GLS580 4Matic,4.0,8.0,Auto-9,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SMBXT04.0HY1,standard SUV,4,14,19,16,3,No,548
MERCEDES-BENZ GLS600 4Matic Maybach,4.0,8.0,Auto-9,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SMBXT04.0HY1,standard SUV,4,13,18,15,2,No,588
MERCEDES-BENZ S500 4Matic,3.0,6.0,Auto-9,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SMBXV03.0HY3,large car,6,21,31,24,5,No,364
MINI Cooper Hardtop,2.0,4.0,AMS-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SBMXJ02.0F6X,small car,6,28,39,32,6,No,274
MINI Cooper S Hardtop,2.0,4.0,AMS-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SBMXJ02.0F6X,small car,6,28,39,32,6,No,273
MINI Countryman S All4,2.0,4.0,AMS-7,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SBMXJ02.0F6X,small SUV,6,24,32,27,5,No,323
"MINI Countryman SE All4 (18"" Wheels)",,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0U2X,small SUV,10,99,94,96,10,Elite,0
"MINI Countryman SE All4 (19"" Wheels)",,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0U2X,small SUV,10,94,88,91,10,Elite,0
MINI JCW Countryman All4,2.0,4.0,AMS-7,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,SBMXT02.0U1X,small SUV,5,23,30,26,5,No,341
MITSUBISHI Outlander PHEV,2.4,4.0,Auto-1,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SMTXT02.4H3M,standard SUV,6,25/67,27/61,26/64,9,Yes,115
NISSAN Altima,2.5,4.0,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SNSXV02.5RPC,midsize car,6,27,39,32,6,No,285
NISSAN Altima SL/SR,2.5,4.0,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SNSXV02.5RPC,midsize car,6,27,37,31,6,No,287
NISSAN Kicks,2.0,4.0,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SNSXT02.0RMD,small SUV,6,28,35,31,6,No,287
NISSAN Leaf,,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SNSXV0000TL2,midsize car,10,123,99,111,10,Elite,0
POLESTAR 2 Dual Motor (19 Inch Wheels),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVVXV00.0Z0A,midsize car,10,105,95,101,10,Elite,0
POLESTAR 2 Dual Motor (20 Inch Wheels),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVVXV00.0Z0A,midsize car,10,101,92,97,10,Elite,0
POLESTAR 2 Dual Motor Performance Pack,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVVXV00.0Z0A,midsize car,10,95,87,91,10,Elite,0
POLESTAR 2 Single Motor (19 Inch Wheels),,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVVXV00.0Z0B,midsize car,10,123,104,114,10,Elite,0
POLESTAR 2 Single Motor (20 Inch Wheels),,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVVXV00.0Z0B,midsize car,10,117,101,109,10,Elite,0
"POLESTAR 3 Long Range Dual Motor (20"" Wheels)",,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVVXT00.0Z0E,standard SUV,10,91,82,87,10,Elite,0
"POLESTAR 3 Long Range Dual Motor (21"" Wheels)",,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVVXT00.0Z0E,standard SUV,10,92,84,88,10,Elite,0
"POLESTAR 3 Long Range Dual Motor (22"" Wheels)",,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVVXT00.0Z0E,standard SUV,10,84,76,80,10,Elite,0
POLESTAR 3 Long Range Dual Motor Performance Pack,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVVXT00.0Z0E,standard SUV,10,81,73,77,10,Elite,0
POLESTAR 4 Long Range Dual Motor,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVVXV00.0Z0I,standard SUV,10,86,80,83,10,Elite,0
POLESTAR 4 Long Range Single Motor,,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVVXV00.0Z0J,standard SUV,10,93,87,90,10,Elite,0
PORSCHE Panamera,2.9,6.0,AMS-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SPRXV02.9PV6,large car,4,18,25,21,4,No,431
PORSCHE Panamera 4,2.9,6.0,AMS-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SPRXV02.9PV6,large car,4,18,25,21,4,No,425
PORSCHE Taycan 4S Perf Battery Plus 19in,,,Auto-2,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SPRXV00.0ETT,small car,10,94,92,93,10,Elite,0
PORSCHE Taycan Perf Battery Plus,,,Auto-2,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SPRXV00.0ETS,small car,10,94,90,92,10,Elite,0
PORSCHE Taycan Performance Battery,,,Auto-2,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SPRXV00.0ETS,small car,10,94,88,91,10,Elite,0
RAM 1500,3.0,6.0,Auto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SCRXT03.05P4,pickup,6,18,25,21,4,No,433
RAM 1500 HFE,3.6,6.0,Auto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SCRXT03.65PN,pickup,6,20,26,23,5,No,394
RAM 1500 HO,3.0,6.0,Auto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SCRXT03.05P2,pickup,6,15,21,17,3,No,521
RAM 1500 RHO,3.0,6.0,Auto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SCRXT03.05P3,pickup,6,14,16,15,2,No,602
RIMAC Nevera,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBGRV00.0CJP,small car,10,52,54,53,10,Elite,0
RIVIAN R1S All-Terrain Dual Large Plus (20in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.0SEP,standard SUV,10,76,67,72,10,Elite,0
RIVIAN R1S All-Terrain Dual Max (20in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.0SEP,standard SUV,10,82,73,78,10,Elite,0
RIVIAN R1S All-Terrain Performance Dual Large Plus (20in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.0SEP,standard SUV,10,76,67,72,10,Elite,0
RIVIAN R1S All-Terrain Performance Dual Max (20in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.0SEP,standard SUV,10,82,73,78,10,Elite,0
RIVIAN R1S Dual Large Plus (22in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.0SEP,standard SUV,10,89,75,82,10,Elite,0
RIVIAN R1S Dual Max (20in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.0SEP,standard SUV,10,86,74,80,10,Elite,0
RIVIAN R1S Dual Max (22in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.0SEP,standard SUV,10,91,77,84,10,Elite,0
RIVIAN R1S Dual Standard (20in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.01L2,standard SUV,10,85,72,79,10,Elite,0
RIVIAN R1S Dual Standard (22in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.01L2,standard SUV,10,92,77,85,10,Elite,0
RIVIAN R1S Performance Dual Large Plus (22in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.0SEP,standard SUV,10,89,75,82,10,Elite,0
RIVIAN R1S Performance Dual Max (20in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.0SEP,standard SUV,10,86,74,80,10,Elite,0
RIVIAN R1S Performance Dual Max (22in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.0SEP,standard SUV,10,91,77,84,10,Elite,0
RIVIAN R1T All-Terrain Dual Large Plus (20in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.0SEP,pickup,10,76,67,72,10,Elite,0
RIVIAN R1T All-Terrain Dual Max (20in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.0SEP,pickup,10,82,73,78,10,Elite,0
RIVIAN R1T All-Terrain Performance Dual Large Plus (20in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.0SEP,pickup,10,76,67,72,10,Elite,0
RIVIAN R1T All-Terrain Performance Dual Max (20in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.0SEP,pickup,10,82,73,78,10,Elite,0
RIVIAN R1T Dual Large Plus (22in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.0SEP,pickup,10,89,75,82,10,Elite,0
RIVIAN R1T Dual Max (20in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.0SEP,pickup,10,86,74,80,10,Elite,0
RIVIAN R1T Dual Max (22in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.0SEP,pickup,10,93,80,87,10,Elite,0
RIVIAN R1T Dual Standard (20in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.01L2,pickup,10,85,72,79,10,Elite,0
RIVIAN R1T Dual Standard (22in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.01L2,pickup,10,92,77,85,10,Elite,0
RIVIAN R1T Performance Dual Large Plus (22in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.0SEP,pickup,10,89,75,82,10,Elite,0
RIVIAN R1T Performance Dual Max (20in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.0SEP,pickup,10,86,74,80,10,Elite,0
RIVIAN R1T Performance Dual Max (22in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.0SEP,pickup,10,93,80,87,10,Elite,0
ROLLS-ROYCE Black Badge Spectre (22'' Wheels),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRRGV00.0R2B,small car,10,70,80,74,10,Elite,0
ROLLS-ROYCE Black Badge Spectre (23'' Wheels),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRRGV00.0R2B,small car,10,67,74,70,10,Elite,0
ROLLS-ROYCE Cullinan,6.7,12.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SRRGV06.7N74,standard SUV,2,12,19,14,2,No,609
ROLLS-ROYCE Cullinan Black Badge,6.7,12.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SRRGV06.7N74,standard SUV,2,12,19,14,2,No,609
ROLLS-ROYCE Spectre (22'' Wheels),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRRGV00.0R2B,small car,10,74,82,77,10,Elite,0
ROLLS-ROYCE Spectre (23'' Wheels),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRRGV00.0R2B,small car,10,67,75,70,10,Elite,0
SUBARU Forester,2.5,4.0,SCV-8,4WD,Gasoline,CA,OT,Other,SFJXT02.5VDH,small SUV,6,26,33,29,6,No,310
SUBARU Forester Sport/Touring,2.5,4.0,SCV-8,4WD,Gasoline,CA,OT,Other,SFJXT02.5VDH,small SUV,6,25,32,28,6,No,317
SUBARU Legacy,2.4,4.0,SCV-8,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,SFJXJ02.4RAB,midsize car,5,23,31,26,5,No,337
SUBARU Outback AWD,2.4,4.0,SCV-8,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,SFJXJ02.4RAB,small SUV,5,22,29,25,5,No,356
SUBARU Outback Wilderness,2.4,4.0,SCV-8,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,SFJXJ02.4RAB,small SUV,5,21,26,23,5,No,378
TOYOTA Camry HEV AWD LE,2.5,4.0,SCV-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,STYXV02.5P3A,midsize car,6,51,49,50,8,Yes,177
TOYOTA Camry HEV AWD SE/XLE,2.5,4.0,SCV-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,STYXV02.5P3A,midsize car,6,46,46,46,8,Yes,189
TOYOTA Camry HEV AWD XSE,2.5,4.0,SCV-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,STYXV02.5P3A,midsize car,6,44,43,44,7,No,199
TOYOTA Camry HEV FF LE,2.5,4.0,SCV-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,STYXV02.5P3A,midsize car,6,53,50,51,8,Yes,173
TOYOTA Camry HEV FF SE/XLE/XSE,2.5,4.0,SCV-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,STYXV02.5P3A,midsize car,6,48,47,47,8,Yes,186
TOYOTA Corolla Hatchback,2.0,4.0,SCV-10,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,STYXV02.0P3C,small car,6,32,41,35,7,No,254
TOYOTA Corolla Hatchback XSE,2.0,4.0,SCV-10,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,STYXV02.0P3C,small car,6,30,38,33,6,No,266
TOYOTA Crown,2.4,4.0,SCV-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,STYXV02.4H33,midsize car,6,29,32,30,6,No,293
TOYOTA Crown Signia,2.5,4.0,SCV-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,STYXV02.5H3A,station wagon,6,39,37,38,7,No,231
TOYOTA Supra 2.0,2.0,4.0,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SBMXJ02.0B4X,small car,6,25,31,27,5,No,322
TOYOTA Supra 3.0,3.0,6.0,Man-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SBMXV03.0B5X,small car,4,19,27,21,4,No,411
VOLKSWAGEN Atlas 4Motion Peak Edition,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAT02.0V7A,small SUV,4,18,25,20,4,No,436
VOLKSWAGEN GLI,2.0,4.0,AMS-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SVGAJ02.0V3A,small car,6,25,35,29,6,No,311
VOLKSWAGEN Jetta,1.5,4.0,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SVGAV01.5V2Q,small car,6,29,39,33,6,No,271
VOLKSWAGEN Jetta Sport/SE/SEL,1.5,4.0,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SVGAV01.5V2Q,small car,6,29,40,33,6,No,271
VOLVO EC40,,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVVXV00.0Z0B,small SUV,10,118,95,106,10,Elite,0
VOLVO EC40 Twin,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVVXV00.0Z0A,small SUV,10,105,88,97,10,Elite,0
VOLVO EX30 Single Motor Extended Range (18 Inch Wheels),,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVVXV00.0Z0D,small SUV,10,124,103,114,10,Elite,0
VOLVO EX30 Single Motor Extended Range(19_20 Inch Wheel),,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVVXV00.0Z0D,small SUV,10,127,104,116,10,Elite,0
VOLVO EX40,,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVVXV00.0Z0B,small SUV,10,118,94,106,10,Elite,0
VOLVO EX40 Twin,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVVXV00.0Z0A,small SUV,10,103,85,94,10,Elite,0
VOLVO S60 B5,2.0,4.0,SemiAuto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVVXJ02.0U70,small car,4,27,36,30,6,No,295
VOLVO S60 T8,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SVVXJ02.0P30,small car,6,30/74,33/73,31/74,9,Yes,99
VOLVO S90 B6,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SVVXJ02.0S30,midsize car,6,23,31,26,5,No,341
VOLVO S90 T8,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SVVXJ02.0P30,midsize car,6,28/66,31/67,29/66,9,Yes,110
VOLVO V60 T8,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SVVXJ02.0P30,station wagon,6,30/74,33/73,31/74,9,Yes,99
VOLVO V60CC B5,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVVXJ02.0U70,station wagon,4,24,31,27,5,No,331
VOLVO V90CC B6,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SVVXJ02.0S30,station wagon,6,22,29,25,5,No,358
VOLVO XC40 B5,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVVXJ02.0U70,small SUV,4,23,30,26,5,No,343
VOLVO XC60 B5,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SVVXT02.0S31,small SUV,6,23,30,26,5,No,343
VOLVO XC60 T8,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SVVXJ02.0P30,small SUV,6,28/66,28/60,28/63,9,Yes,122
VOLVO XC90 B5,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SVVXT02.0S31,standard SUV,6,23,30,26,5,No,343
VOLVO XC90 B6,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SVVXJ02.0S30,standard SUV,6,20,26,23,5,No,393
VOLVO XC90 T8,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SVVXJ02.0P30,standard SUV,6,26/59,27/57,27/58,8,Yes,137
